token,pos,type,example
нныйая,participle,derived_inflected,отправлнныйая
енныйый,participle,derived_inflected,отправленныйый
енныйий,participle,derived_inflected,отправленныйий
енныйой,participle,derived_inflected,отправленныйой
енныйая,participle,derived_inflected,отправленныйая
технический,adj,real_example,технический
техническая,noun,real_example,техническая
техническое,noun,real_example,техническое
технические,noun,real_example,технические
банковский,adj,real_example,банковский
банковская,noun,real_example,банковская
банковское,noun,real_example,банковское
банковские,noun,real_example,банковские
сервисный,adj,real_example,сервисный
сервисная,adj,real_example,сервисная
сервисное,adj,real_example,сервисное
сервисные,adj,real_example,сервисные
операционный,adj,real_example,операционный
операционная,adj,real_example,операционная
операционное,adj,real_example,операционное
операционные,adj,real_example,операционные
налоговый,noun,real_example,налоговый
налоговая,noun,real_example,налоговая
налоговое,noun,real_example,налоговое
налоговые,noun,real_example,налоговые
накладная,adj,real_example,накладная
накладного,noun,real_example,накладного
накладной,noun,real_example,накладной
поставщик,noun,real_example,поставщик
поставщика,noun,real_example,поставщика
поставщику,noun,real_example,поставщику
ёнок,noun,diminutive,ящикёнок
ёныш,noun,diminutive,ящикёныш
очек,noun,diminutive,ящикочек
ечек,noun,diminutive,ящикечек
ища,noun,diminutive,ящикища
юшка,noun,diminutive,ящикюшка
ей,adj/adv,degree,быстрей
ейше,adj/adv,degree,быстрейше
айше,adj/adv,degree,быстрайше
ейший,adj/adv,degree,быстрейший
ейш,adj/adv,degree,быстрейш
ника,noun,combined,счетника
никя,noun,combined,счетникя
нику,noun,combined,счетнику
ником,noun,combined,счетником
нике,noun,combined,счетнике
никы,noun,combined,счетникы
ники,noun,combined,счетники
ников,noun,combined,счетников
никев,noun,combined,счетникев
никам,noun,combined,счетникам
никами,noun,combined,счетниками
никах,noun,combined,счетниках
чика,noun,combined,счетчика
чикя,noun,combined,счетчикя
чику,noun,combined,счетчику
чиком,noun,combined,счетчиком
чике,noun,combined,счетчике
чикы,noun,combined,счетчикы
чики,noun,combined,счетчики
чиков,noun,combined,счетчиков
чикев,noun,combined,счетчикев
чикам,noun,combined,счетчикам
чиками,noun,combined,счетчиками
чиках,noun,combined,счетчиках
щика,noun,combined,счетщика
щикя,noun,combined,счетщикя
щику,noun,combined,счетщику
щиком,noun,combined,счетщиком
щике,noun,combined,счетщике
щикы,noun,combined,счетщикы
щики,noun,combined,счетщики
щиков,noun,combined,счетщиков
щикев,noun,combined,счетщикев
щикам,noun,combined,счетщикам
щиками,noun,combined,счетщиками
щиках,noun,combined,счетщиках
остьа,noun,combined,счетостьа
остья,noun,combined,счетостья
остьу,noun,combined,счетостьу
остьом,noun,combined,счетостьом
остье,noun,combined,счетостье
остьы,noun,combined,счетостьы
остьи,noun,combined,счетостьи
остьов,noun,combined,счетостьов
остьев,noun,combined,счетостьев
остьам,noun,combined,счетостьам
остьами,noun,combined,счетостьами
остьах,noun,combined,счетостьах
ствоа,noun,combined,счетствоа
ствоя,noun,combined,счетствоя
ствоу,noun,combined,счетствоу
ствоом,noun,combined,счетствоом
ствое,noun,combined,счетствое
ствоы,noun,combined,счетствоы
ствои,noun,combined,счетствои
ствоов,noun,combined,счетствоов
ствоев,noun,combined,счетствоев
ствоам,noun,combined,счетствоам
ствоами,noun,combined,счетствоами
ствоах,noun,combined,счетствоах
ениеа,noun,combined,счетениеа
ениея,noun,combined,счетениея
ениеу,noun,combined,счетениеу
ениеом,noun,combined,счетениеом
ениее,noun,combined,счетениее
ениеы,noun,combined,счетениеы
ениеи,noun,combined,счетениеи
ениеов,noun,combined,счетениеов
ениеев,noun,combined,счетениеев
ениеам,noun,combined,счетениеам
ениеами,noun,combined,счетениеами
ениеах,noun,combined,счетениеах
аниеа,noun,combined,счетаниеа
аниея,noun,combined,счетаниея
аниеу,noun,combined,счетаниеу
аниеом,noun,combined,счетаниеом
аниее,noun,combined,счетаниее
аниеы,noun,combined,счетаниеы
аниеи,noun,combined,счетаниеи
аниеов,noun,combined,счетаниеов
аниеев,noun,combined,счетаниеев
аниеам,noun,combined,счетаниеам
аниеами,noun,combined,счетаниеами
аниеах,noun,combined,счетаниеах
изма,noun,combined,счетизма
измя,noun,combined,счетизмя
изму,noun,combined,счетизму
измом,noun,combined,счетизмом
изме,noun,combined,счетизме
измы,noun,combined,счетизмы
изми,noun,combined,счетизми
измов,noun,combined,счетизмов
измев,noun,combined,счетизмев
измам,noun,combined,счетизмам
измами,noun,combined,счетизмами
измах,noun,combined,счетизмах
иста,noun,combined,счетиста
истя,noun,combined,счетистя
исту,noun,combined,счетисту
истом,noun,combined,счетистом
исте,noun,combined,счетисте
исты,noun,combined,счетисты
исти,noun,combined,счетисти
истов,noun,combined,счетистов
истев,noun,combined,счетистев
истам,noun,combined,счетистам
истами,noun,combined,счетистами
истах,noun,combined,счетистах
цияа,noun,combined,счетцияа
цияя,noun,combined,счетцияя
цияу,noun,combined,счетцияу
цияом,noun,combined,счетцияом
цияе,noun,combined,счетцияе
цияы,noun,combined,счетцияы
цияи,noun,combined,счетцияи
цияов,noun,combined,счетцияов
цияев,noun,combined,счетцияев
цияам,noun,combined,счетцияам
цияами,noun,combined,счетцияами
цияах,noun,combined,счетцияах
атора,noun,combined,счетатора
аторя,noun,combined,счетаторя
атору,noun,combined,счетатору
атором,noun,combined,счетатором
аторе,noun,combined,счетаторе
аторы,noun,combined,счетаторы
атори,noun,combined,счетатори
аторов,noun,combined,счетаторов
аторев,noun,combined,счетаторев
аторам,noun,combined,счетаторам
аторами,noun,combined,счетаторами
аторах,noun,combined,счетаторах
тельа,noun,combined,счеттельа
телья,noun,combined,счеттелья
тельу,noun,combined,счеттельу
тельом,noun,combined,счеттельом
телье,noun,combined,счеттелье
тельы,noun,combined,счеттельы
тельи,noun,combined,счеттельи
тельов,noun,combined,счеттельов
тельев,noun,combined,счеттельев
тельам,noun,combined,счеттельам
тельами,noun,combined,счеттельами
тельах,noun,combined,счеттельах
ока,noun,combined,счетока
окя,noun,combined,счетокя
оку,noun,combined,счетоку
оком,noun,combined,счетоком
оке,noun,combined,счетоке
окы,noun,combined,счетокы
оки,noun,combined,счетоки
оков,noun,combined,счетоков
окев,noun,combined,счетокев
окам,noun,combined,счетокам
оками,noun,combined,счетоками
оках,noun,combined,счетоках
ека,noun,combined,счетека
екя,noun,combined,счетекя
еку,noun,combined,счетеку
еком,noun,combined,счетеком
еке,noun,combined,счетеке
екы,noun,combined,счетекы
еки,noun,combined,счетеки
еков,noun,combined,счетеков
екев,noun,combined,счетекев
екам,noun,combined,счетекам
еками,noun,combined,счетеками
еках,noun,combined,счетеках
ика,noun,combined,счетика
икя,noun,combined,счетикя
ику,noun,combined,счетику
иком,noun,combined,счетиком
ике,noun,combined,счетике
икы,noun,combined,счетикы
ики,noun,combined,счетики
иков,noun,combined,счетиков
икев,noun,combined,счетикев
икам,noun,combined,счетикам
иками,noun,combined,счетиками
иках,noun,combined,счетиках
ицаа,noun,combined,счетицаа
ицая,noun,combined,счетицая
ицау,noun,combined,счетицау
ицаом,noun,combined,счетицаом
ицае,noun,combined,счетицае
ицаы,noun,combined,счетицаы
ицаи,noun,combined,счетицаи
ицаов,noun,combined,счетицаов
ицаев,noun,combined,счетицаев
ицаам,noun,combined,счетицаам
ицаами,noun,combined,счетицаами
ицаах,noun,combined,счетицаах
арьа,noun,combined,счетарьа
арья,noun,combined,счетарья
арьу,noun,combined,счетарьу
арьом,noun,combined,счетарьом
арье,noun,combined,счетарье
арьы,noun,combined,счетарьы
арьи,noun,combined,счетарьи
арьов,noun,combined,счетарьов
арьев,noun,combined,счетарьев
арьам,noun,combined,счетарьам
арьами,noun,combined,счетарьами
арьах,noun,combined,счетарьах
арийа,noun,combined,счетарийа
арийя,noun,combined,счетарийя
арийу,noun,combined,счетарийу
арийом,noun,combined,счетарийом
арийе,noun,combined,счетарийе
арийы,noun,combined,счетарийы
арийи,noun,combined,счетарийи
арийов,noun,combined,счетарийов
арийев,noun,combined,счетарийев
арийам,noun,combined,счетарийам
арийами,noun,combined,счетарийами
арийах,noun,combined,счетарийах
баа,noun,combined,счетбаа
бая,noun,combined,счетбая
бау,noun,combined,счетбау
баом,noun,combined,счетбаом
бае,noun,combined,счетбае
баы,noun,combined,счетбаы
баи,noun,combined,счетбаи
баов,noun,combined,счетбаов
баев,noun,combined,счетбаев
баам,noun,combined,счетбаам
баами,noun,combined,счетбаами
баах,noun,combined,счетбаах
инаа,noun,combined,счетинаа
иная,noun,combined,счетиная
инау,noun,combined,счетинау
инаом,noun,combined,счетинаом
инае,noun,combined,счетинае
инаы,noun,combined,счетинаы
инаи,noun,combined,счетинаи
инаов,noun,combined,счетинаов
инаев,noun,combined,счетинаев
инаам,noun,combined,счетинаам
инаами,noun,combined,счетинаами
инаах,noun,combined,счетинаах
отаа,noun,combined,счетотаа
отая,noun,combined,счетотая
отау,noun,combined,счетотау
отаом,noun,combined,счетотаом
отае,noun,combined,счетотае
отаы,noun,combined,счетотаы
отаи,noun,combined,счетотаи
отаов,noun,combined,счетотаов
отаев,noun,combined,счетотаев
отаам,noun,combined,счетотаам
отаами,noun,combined,счетотаами
отаах,noun,combined,счетотаах
мостьа,noun,combined,счетмостьа
мостья,noun,combined,счетмостья
мостьу,noun,combined,счетмостьу
мостьом,noun,combined,счетмостьом
мостье,noun,combined,счетмостье
мостьы,noun,combined,счетмостьы
мостьи,noun,combined,счетмостьи
мостьов,noun,combined,счетмостьов
мостьев,noun,combined,счетмостьев
мостьам,noun,combined,счетмостьам
мостьами,noun,combined,счетмостьами
мостьах,noun,combined,счетмостьах
уна,noun,combined,счетуна
уня,noun,combined,счетуня
уну,noun,combined,счетуну
уном,noun,combined,счетуном
уне,noun,combined,счетуне
уны,noun,combined,счетуны
уни,noun,combined,счетуни
унов,noun,combined,счетунов
унев,noun,combined,счетунев
унам,noun,combined,счетунам
унами,noun,combined,счетунами
унах,noun,combined,счетунах
еньеа,noun,combined,счетеньеа
еньея,noun,combined,счетеньея
еньеу,noun,combined,счетеньеу
еньеом,noun,combined,счетеньеом
еньее,noun,combined,счетеньее
еньеы,noun,combined,счетеньеы
еньеи,noun,combined,счетеньеи
еньеов,noun,combined,счетеньеов
еньеев,noun,combined,счетеньеев
еньеам,noun,combined,счетеньеам
еньеами,noun,combined,счетеньеами
еньеах,noun,combined,счетеньеах
ьеа,noun,combined,счетьеа
ьея,noun,combined,счетьея
ьеу,noun,combined,счетьеу
ьеом,noun,combined,счетьеом
ьее,noun,combined,счетьее
ьеы,noun,combined,счетьеы
ьеи,noun,combined,счетьеи
ьеов,noun,combined,счетьеов
ьеев,noun,combined,счетьеев
ьеам,noun,combined,счетьеам
ьеами,noun,combined,счетьеами
ьеах,noun,combined,счетьеах
ищеа,noun,combined,счетищеа
ищея,noun,combined,счетищея
ищеу,noun,combined,счетищеу
ищеом,noun,combined,счетищеом
ищее,noun,combined,счетищее
ищеы,noun,combined,счетищеы
ищеи,noun,combined,счетищеи
ищеов,noun,combined,счетищеов
ищеев,noun,combined,счетищеев
ищеам,noun,combined,счетищеам
ищеами,noun,combined,счетищеами
ищеах,noun,combined,счетищеах
ушкаа,noun,combined,счетушкаа
ушкая,noun,combined,счетушкая
ушкау,noun,combined,счетушкау
ушкаом,noun,combined,счетушкаом
ушкае,noun,combined,счетушкае
ушкаы,noun,combined,счетушкаы
ушкаи,noun,combined,счетушкаи
ушкаов,noun,combined,счетушкаов
ушкаев,noun,combined,счетушкаев
ушкаам,noun,combined,счетушкаам
ушкаами,noun,combined,счетушкаами
ушкаах,noun,combined,счетушкаах
онькаа,noun,combined,счетонькаа
онькая,noun,combined,счетонькая
онькау,noun,combined,счетонькау
онькаом,noun,combined,счетонькаом
онькае,noun,combined,счетонькае
онькаы,noun,combined,счетонькаы
онькаи,noun,combined,счетонькаи
онькаов,noun,combined,счетонькаов
онькаев,noun,combined,счетонькаев
онькаам,noun,combined,счетонькаам
онькаами,noun,combined,счетонькаами
онькаах,noun,combined,счетонькаах
ышкоа,noun,combined,счетышкоа
ышкоя,noun,combined,счетышкоя
ышкоу,noun,combined,счетышкоу
ышкоом,noun,combined,счетышкоом
ышкое,noun,combined,счетышкое
ышкоы,noun,combined,счетышкоы
ышкои,noun,combined,счетышкои
ышкоов,noun,combined,счетышкоов
ышкоев,noun,combined,счетышкоев
ышкоам,noun,combined,счетышкоам
ышкоами,noun,combined,счетышкоами
ышкоах,noun,combined,счетышкоах
ицaа,noun,combined,счетицaа
ицaя,noun,combined,счетицaя
ицaу,noun,combined,счетицaу
ицaом,noun,combined,счетицaом
ицaе,noun,combined,счетицaе
ицaы,noun,combined,счетицaы
ицaи,noun,combined,счетицaи
ицaов,noun,combined,счетицaов
ицaев,noun,combined,счетицaев
ицaам,noun,combined,счетицaам
ицaами,noun,combined,счетицaами
ицaах,noun,combined,счетицaах
