filename,r,c,x_min,y_min,x_max,y_max,width,height
cell_r2_c6.png,2,6,570,36,626,120,56,84
cell_r2_c7.png,2,7,626,36,698,120,72,84
cell_r2_c8.png,2,8,698,36,734,120,36,84
cell_r2_c9.png,2,9,734,36,766,119,32,83
cell_r2_c10.png,2,10,766,36,822,120,56,84
cell_r2_c11.png,2,11,821,36,887,120,66,84
cell_r2_c0.png,2,0,324,36,360,119,36,83
cell_r2_c1.png,2,1,359,36,391,119,32,83
cell_r2_c2.png,2,2,391,36,446,119,55,83
cell_r2_c3.png,2,3,446,36,502,119,56,83
cell_r2_c4.png,2,4,502,36,538,119,36,83
cell_r2_c5.png,2,5,538,36,570,119,32,83
cell_r2_c6.png,2,6,570,36,626,120,56,84
cell_r2_c7.png,2,7,626,36,698,120,72,84
cell_r2_c8.png,2,8,698,36,734,120,36,84
cell_r2_c9.png,2,9,734,36,766,119,32,83
cell_r2_c10.png,2,10,766,36,822,120,56,84
cell_r2_c11.png,2,11,821,36,887,120,66,84
cell_r2_c0.png,2,0,324,36,360,119,36,83
cell_r2_c1.png,2,1,359,36,391,119,32,83
cell_r2_c2.png,2,2,391,36,446,119,55,83
cell_r2_c3.png,2,3,446,36,502,119,56,83
cell_r2_c4.png,2,4,502,36,538,119,36,83
cell_r2_c5.png,2,5,538,36,570,119,32,83
cell_r2_c6.png,2,6,570,36,626,120,56,84
cell_r2_c7.png,2,7,626,36,698,120,72,84
cell_r2_c8.png,2,8,698,36,734,120,36,84
cell_r2_c9.png,2,9,734,36,766,119,32,83
cell_r2_c10.png,2,10,766,36,822,120,56,84
cell_r2_c11.png,2,11,821,36,887,120,66,84
cell_r2_c0.png,2,0,324,36,360,119,36,83
cell_r2_c1.png,2,1,359,36,391,119,32,83
cell_r2_c2.png,2,2,391,36,446,119,55,83
cell_r2_c3.png,2,3,446,36,502,119,56,83
cell_r2_c4.png,2,4,502,36,538,119,36,83
cell_r2_c5.png,2,5,538,36,570,119,32,83
cell_r2_c6.png,2,6,570,36,626,120,56,84
cell_r2_c7.png,2,7,626,36,698,120,72,84
cell_r2_c8.png,2,8,698,36,734,120,36,84
cell_r2_c9.png,2,9,734,36,766,119,32,83
cell_r2_c10.png,2,10,766,36,822,120,56,84
cell_r2_c11.png,2,11,821,36,887,120,66,84
cell_r2_c0.png,2,0,324,36,360,119,36,83
cell_r2_c1.png,2,1,359,36,391,119,32,83
cell_r2_c2.png,2,2,391,36,446,119,55,83
cell_r2_c3.png,2,3,446,36,502,119,56,83
cell_r2_c4.png,2,4,502,36,538,119,36,83
cell_r2_c5.png,2,5,538,36,570,119,32,83
cell_r2_c6.png,2,6,570,36,626,120,56,84
cell_r2_c7.png,2,7,626,36,698,120,72,84
cell_r2_c8.png,2,8,698,36,734,120,36,84
cell_r2_c9.png,2,9,734,36,766,119,32,83
cell_r2_c10.png,2,10,766,36,822,120,56,84
cell_r2_c11.png,2,11,821,36,887,120,66,84
cell_r2_c0.png,2,0,324,36,360,119,36,83
cell_r2_c1.png,2,1,359,36,391,119,32,83
cell_r2_c2.png,2,2,391,36,446,119,55,83
cell_r2_c3.png,2,3,446,36,502,119,56,83
cell_r2_c4.png,2,4,502,36,538,119,36,83
cell_r2_c5.png,2,5,538,36,570,119,32,83
cell_r2_c6.png,2,6,570,36,626,120,56,84
cell_r2_c7.png,2,7,626,36,698,120,72,84
cell_r2_c8.png,2,8,698,36,734,120,36,84
cell_r2_c9.png,2,9,734,36,766,119,32,83
cell_r2_c10.png,2,10,766,36,822,120,56,84
cell_r2_c11.png,2,11,821,36,887,120,66,84
cell_r2_c0.png,2,0,324,36,360,119,36,83
cell_r2_c1.png,2,1,359,36,391,119,32,83
cell_r2_c2.png,2,2,391,36,446,119,55,83
cell_r2_c3.png,2,3,446,36,502,119,56,83
cell_r2_c4.png,2,4,502,36,538,119,36,83
cell_r2_c5.png,2,5,538,36,570,119,32,83
cell_r2_c6.png,2,6,570,36,626,120,56,84
cell_r2_c7.png,2,7,626,36,698,120,72,84
cell_r2_c8.png,2,8,698,36,734,120,36,84
cell_r2_c9.png,2,9,734,36,766,119,32,83
cell_r2_c10.png,2,10,766,36,822,120,56,84
cell_r2_c11.png,2,11,821,36,887,120,66,84
cell_r2_c0.png,2,0,324,36,360,119,36,83
cell_r2_c1.png,2,1,359,36,391,119,32,83
cell_r2_c2.png,2,2,391,36,446,119,55,83
cell_r2_c3.png,2,3,446,36,502,119,56,83
cell_r2_c4.png,2,4,502,36,538,119,36,83
cell_r2_c5.png,2,5,538,36,570,119,32,83
cell_r2_c6.png,2,6,570,36,626,120,56,84
cell_r2_c7.png,2,7,626,36,698,120,72,84
cell_r2_c8.png,2,8,698,36,734,120,36,84
cell_r2_c9.png,2,9,734,36,766,119,32,83
cell_r2_c10.png,2,10,766,36,822,120,56,84
cell_r2_c11.png,2,11,821,36,887,120,66,84
cell_r2_c0.png,2,0,324,36,360,119,36,83
cell_r2_c1.png,2,1,359,36,391,119,32,83
cell_r2_c2.png,2,2,391,36,446,119,55,83
cell_r2_c3.png,2,3,446,36,502,119,56,83
cell_r2_c4.png,2,4,502,36,538,119,36,83
cell_r2_c5.png,2,5,538,36,570,119,32,83
cell_r2_c6.png,2,6,570,36,626,120,56,84
cell_r2_c7.png,2,7,626,36,698,120,72,84
cell_r2_c8.png,2,8,698,36,734,120,36,84
cell_r2_c9.png,2,9,734,36,766,119,32,83
cell_r2_c10.png,2,10,766,36,822,120,56,84
cell_r2_c11.png,2,11,821,36,887,120,66,84
cell_r2_c0.png,2,0,324,36,360,119,36,83
cell_r2_c1.png,2,1,359,36,391,119,32,83
cell_r2_c2.png,2,2,391,36,446,119,55,83
cell_r2_c3.png,2,3,446,36,502,119,56,83
cell_r2_c4.png,2,4,502,36,538,119,36,83
cell_r2_c5.png,2,5,538,36,570,119,32,83
cell_r2_c6.png,2,6,570,36,626,120,56,84
cell_r2_c7.png,2,7,626,36,698,120,72,84
cell_r2_c8.png,2,8,698,36,734,120,36,84
cell_r2_c9.png,2,9,734,36,766,119,32,83
cell_r2_c10.png,2,10,766,36,822,120,56,84
cell_r2_c11.png,2,11,821,36,887,120,66,84
cell_r2_c0.png,2,0,324,36,360,119,36,83
cell_r2_c1.png,2,1,359,36,391,119,32,83
cell_r2_c2.png,2,2,391,36,446,119,55,83
cell_r2_c3.png,2,3,446,36,502,119,56,83
cell_r2_c4.png,2,4,502,36,538,119,36,83
cell_r2_c5.png,2,5,538,36,570,119,32,83
cell_r2_c6.png,2,6,570,36,626,120,56,84
cell_r2_c7.png,2,7,626,36,698,120,72,84
cell_r2_c8.png,2,8,698,36,734,120,36,84
cell_r2_c9.png,2,9,734,36,766,119,32,83
cell_r2_c10.png,2,10,766,36,822,120,56,84
cell_r2_c11.png,2,11,821,36,887,120,66,84
cell_r3_c0.png,3,0,1,118,17,126,16,8
cell_r3_c1.png,3,1,17,118,229,127,212,9
cell_r3_c2.png,3,2,229,118,280,127,51,9
cell_r3_c3.png,3,3,280,118,324,127,44,9
cell_r3_c4.png,3,4,324,119,359,127,35,8
cell_r3_c5.png,3,5,359,119,391,127,32,8
cell_r3_c6.png,3,6,391,119,446,127,55,8
cell_r3_c7.png,3,7,446,119,502,127,56,8
cell_r3_c8.png,3,8,502,119,538,127,36,8
cell_r3_c9.png,3,9,538,119,570,127,32,8
cell_r3_c10.png,3,10,570,119,626,127,56,8
cell_r3_c11.png,3,11,626,120,698,127,72,7
cell_r3_c12.png,3,12,698,119,734,127,36,8
cell_r3_c13.png,3,13,734,119,766,127,32,8
cell_r3_c14.png,3,14,766,119,822,128,56,9
cell_r3_c15.png,3,15,822,119,887,128,65,9
cell_r3_c16.png,3,16,887,119,919,127,32,8
cell_r3_c17.png,3,17,919,119,985,128,66,9
cell_r3_c18.png,3,18,985,119,1050,128,65,9
cell_r3_c0.png,3,0,1,118,17,126,16,8
cell_r3_c1.png,3,1,17,118,229,127,212,9
cell_r3_c2.png,3,2,229,118,280,127,51,9
cell_r3_c3.png,3,3,280,118,324,127,44,9
cell_r3_c4.png,3,4,324,119,359,127,35,8
cell_r3_c5.png,3,5,359,119,391,127,32,8
cell_r3_c6.png,3,6,391,119,446,127,55,8
cell_r3_c7.png,3,7,446,119,502,127,56,8
cell_r3_c8.png,3,8,502,119,538,127,36,8
cell_r3_c9.png,3,9,538,119,570,127,32,8
cell_r3_c10.png,3,10,570,119,626,127,56,8
cell_r3_c11.png,3,11,626,120,698,127,72,7
cell_r3_c12.png,3,12,698,119,734,127,36,8
cell_r3_c13.png,3,13,734,119,766,127,32,8
cell_r3_c14.png,3,14,766,119,822,128,56,9
cell_r3_c15.png,3,15,822,119,887,128,65,9
cell_r3_c16.png,3,16,887,119,919,127,32,8
cell_r3_c17.png,3,17,919,119,985,128,66,9
cell_r3_c18.png,3,18,985,119,1050,128,65,9
cell_r3_c0.png,3,0,1,118,17,126,16,8
cell_r3_c1.png,3,1,17,118,229,127,212,9
cell_r3_c2.png,3,2,229,118,280,127,51,9
cell_r3_c3.png,3,3,280,118,324,127,44,9
cell_r3_c4.png,3,4,324,119,359,127,35,8
cell_r3_c5.png,3,5,359,119,391,127,32,8
cell_r3_c6.png,3,6,391,119,446,127,55,8
cell_r3_c7.png,3,7,446,119,502,127,56,8
cell_r3_c8.png,3,8,502,119,538,127,36,8
cell_r3_c9.png,3,9,538,119,570,127,32,8
cell_r3_c10.png,3,10,570,119,626,127,56,8
cell_r3_c11.png,3,11,626,120,698,127,72,7
cell_r3_c12.png,3,12,698,119,734,127,36,8
cell_r3_c13.png,3,13,734,119,766,127,32,8
cell_r3_c14.png,3,14,766,119,822,128,56,9
cell_r3_c15.png,3,15,822,119,887,128,65,9
cell_r3_c16.png,3,16,887,119,919,127,32,8
cell_r3_c17.png,3,17,919,119,985,128,66,9
cell_r3_c18.png,3,18,985,119,1050,128,65,9
cell_r3_c0.png,3,0,1,118,17,126,16,8
cell_r3_c1.png,3,1,17,118,229,127,212,9
cell_r3_c2.png,3,2,229,118,280,127,51,9
cell_r3_c3.png,3,3,280,118,324,127,44,9
cell_r3_c4.png,3,4,324,119,359,127,35,8
cell_r3_c5.png,3,5,359,119,391,127,32,8
cell_r3_c6.png,3,6,391,119,446,127,55,8
cell_r3_c7.png,3,7,446,119,502,127,56,8
cell_r3_c8.png,3,8,502,119,538,127,36,8
cell_r3_c9.png,3,9,538,119,570,127,32,8
cell_r3_c10.png,3,10,570,119,626,127,56,8
cell_r3_c11.png,3,11,626,120,698,127,72,7
cell_r3_c12.png,3,12,698,119,734,127,36,8
cell_r3_c13.png,3,13,734,119,766,127,32,8
cell_r3_c14.png,3,14,766,119,822,128,56,9
cell_r3_c15.png,3,15,822,119,887,128,65,9
cell_r3_c16.png,3,16,887,119,919,127,32,8
cell_r3_c17.png,3,17,919,119,985,128,66,9
cell_r3_c18.png,3,18,985,119,1050,128,65,9
cell_r3_c0.png,3,0,1,118,17,126,16,8
cell_r3_c1.png,3,1,17,118,229,127,212,9
cell_r3_c2.png,3,2,229,118,280,127,51,9
cell_r3_c3.png,3,3,280,118,324,127,44,9
cell_r3_c4.png,3,4,324,119,359,127,35,8
cell_r3_c5.png,3,5,359,119,391,127,32,8
cell_r3_c6.png,3,6,391,119,446,127,55,8
cell_r3_c7.png,3,7,446,119,502,127,56,8
cell_r3_c8.png,3,8,502,119,538,127,36,8
cell_r3_c9.png,3,9,538,119,570,127,32,8
cell_r3_c10.png,3,10,570,119,626,127,56,8
cell_r3_c11.png,3,11,626,120,698,127,72,7
cell_r3_c12.png,3,12,698,119,734,127,36,8
cell_r3_c13.png,3,13,734,119,766,127,32,8
cell_r3_c14.png,3,14,766,119,822,128,56,9
cell_r3_c15.png,3,15,822,119,887,128,65,9
cell_r3_c16.png,3,16,887,119,919,127,32,8
cell_r3_c17.png,3,17,919,119,985,128,66,9
cell_r3_c18.png,3,18,985,119,1050,128,65,9
cell_r3_c0.png,3,0,1,118,17,126,16,8
cell_r3_c1.png,3,1,17,118,229,127,212,9
cell_r3_c2.png,3,2,229,118,280,127,51,9
cell_r3_c3.png,3,3,280,118,324,127,44,9
cell_r3_c4.png,3,4,324,119,359,127,35,8
cell_r3_c5.png,3,5,359,119,391,127,32,8
cell_r3_c6.png,3,6,391,119,446,127,55,8
cell_r3_c7.png,3,7,446,119,502,127,56,8
cell_r3_c8.png,3,8,502,119,538,127,36,8
cell_r3_c9.png,3,9,538,119,570,127,32,8
cell_r3_c10.png,3,10,570,119,626,127,56,8
cell_r3_c11.png,3,11,626,120,698,127,72,7
cell_r3_c12.png,3,12,698,119,734,127,36,8
cell_r3_c13.png,3,13,734,119,766,127,32,8
cell_r3_c14.png,3,14,766,119,822,128,56,9
cell_r3_c15.png,3,15,822,119,887,128,65,9
cell_r3_c16.png,3,16,887,119,919,127,32,8
cell_r3_c17.png,3,17,919,119,985,128,66,9
cell_r3_c18.png,3,18,985,119,1050,128,65,9
cell_r3_c0.png,3,0,1,118,17,126,16,8
cell_r3_c1.png,3,1,17,118,229,127,212,9
cell_r3_c2.png,3,2,229,118,280,127,51,9
cell_r3_c3.png,3,3,280,118,324,127,44,9
cell_r3_c4.png,3,4,324,119,359,127,35,8
cell_r3_c5.png,3,5,359,119,391,127,32,8
cell_r3_c6.png,3,6,391,119,446,127,55,8
cell_r3_c7.png,3,7,446,119,502,127,56,8
cell_r3_c8.png,3,8,502,119,538,127,36,8
cell_r3_c9.png,3,9,538,119,570,127,32,8
cell_r3_c10.png,3,10,570,119,626,127,56,8
cell_r3_c11.png,3,11,626,120,698,127,72,7
cell_r3_c12.png,3,12,698,119,734,127,36,8
cell_r3_c13.png,3,13,734,119,766,127,32,8
cell_r3_c14.png,3,14,766,119,822,128,56,9
cell_r3_c15.png,3,15,822,119,887,128,65,9
cell_r3_c16.png,3,16,887,119,919,127,32,8
cell_r3_c17.png,3,17,919,119,985,128,66,9
cell_r3_c18.png,3,18,985,119,1050,128,65,9
cell_r3_c0.png,3,0,1,118,17,126,16,8
cell_r3_c1.png,3,1,17,118,229,127,212,9
cell_r3_c2.png,3,2,229,118,280,127,51,9
cell_r3_c3.png,3,3,280,118,324,127,44,9
cell_r3_c4.png,3,4,324,119,359,127,35,8
cell_r3_c5.png,3,5,359,119,391,127,32,8
cell_r3_c6.png,3,6,391,119,446,127,55,8
cell_r3_c7.png,3,7,446,119,502,127,56,8
cell_r3_c8.png,3,8,502,119,538,127,36,8
cell_r3_c9.png,3,9,538,119,570,127,32,8
cell_r3_c10.png,3,10,570,119,626,127,56,8
cell_r3_c11.png,3,11,626,120,698,127,72,7
cell_r3_c12.png,3,12,698,119,734,127,36,8
cell_r3_c13.png,3,13,734,119,766,127,32,8
cell_r3_c14.png,3,14,766,119,822,128,56,9
cell_r3_c15.png,3,15,822,119,887,128,65,9
cell_r3_c16.png,3,16,887,119,919,127,32,8
cell_r3_c17.png,3,17,919,119,985,128,66,9
cell_r3_c18.png,3,18,985,119,1050,128,65,9
cell_r3_c0.png,3,0,1,118,17,126,16,8
cell_r3_c1.png,3,1,17,118,229,127,212,9
cell_r3_c2.png,3,2,229,118,280,127,51,9
cell_r3_c3.png,3,3,280,118,324,127,44,9
cell_r3_c4.png,3,4,324,119,359,127,35,8
cell_r3_c5.png,3,5,359,119,391,127,32,8
cell_r3_c6.png,3,6,391,119,446,127,55,8
cell_r3_c7.png,3,7,446,119,502,127,56,8
cell_r3_c8.png,3,8,502,119,538,127,36,8
cell_r3_c9.png,3,9,538,119,570,127,32,8
cell_r3_c10.png,3,10,570,119,626,127,56,8
cell_r3_c11.png,3,11,626,120,698,127,72,7
cell_r3_c12.png,3,12,698,119,734,127,36,8
cell_r3_c13.png,3,13,734,119,766,127,32,8
cell_r3_c14.png,3,14,766,119,822,128,56,9
cell_r3_c15.png,3,15,822,119,887,128,65,9
cell_r3_c16.png,3,16,887,119,919,127,32,8
cell_r3_c17.png,3,17,919,119,985,128,66,9
cell_r3_c18.png,3,18,985,119,1050,128,65,9
cell_r3_c0.png,3,0,1,118,17,126,16,8
cell_r3_c1.png,3,1,17,118,229,127,212,9
cell_r3_c2.png,3,2,229,118,280,127,51,9
cell_r3_c3.png,3,3,280,118,324,127,44,9
cell_r3_c4.png,3,4,324,119,359,127,35,8
cell_r3_c5.png,3,5,359,119,391,127,32,8
cell_r3_c6.png,3,6,391,119,446,127,55,8
cell_r3_c7.png,3,7,446,119,502,127,56,8
cell_r3_c8.png,3,8,502,119,538,127,36,8
cell_r3_c9.png,3,9,538,119,570,127,32,8
cell_r3_c10.png,3,10,570,119,626,127,56,8
cell_r3_c11.png,3,11,626,120,698,127,72,7
cell_r3_c12.png,3,12,698,119,734,127,36,8
cell_r3_c13.png,3,13,734,119,766,127,32,8
cell_r3_c14.png,3,14,766,119,822,128,56,9
cell_r3_c15.png,3,15,822,119,887,128,65,9
cell_r3_c16.png,3,16,887,119,919,127,32,8
cell_r3_c17.png,3,17,919,119,985,128,66,9
cell_r3_c18.png,3,18,985,119,1050,128,65,9
cell_r3_c0.png,3,0,1,118,17,126,16,8
cell_r3_c1.png,3,1,17,118,229,127,212,9
cell_r3_c2.png,3,2,229,118,280,127,51,9
cell_r3_c3.png,3,3,280,118,324,127,44,9
cell_r3_c4.png,3,4,324,119,359,127,35,8
cell_r3_c5.png,3,5,359,119,391,127,32,8
cell_r3_c6.png,3,6,391,119,446,127,55,8
cell_r3_c7.png,3,7,446,119,502,127,56,8
cell_r3_c8.png,3,8,502,119,538,127,36,8
cell_r3_c9.png,3,9,538,119,570,127,32,8
cell_r3_c10.png,3,10,570,119,626,127,56,8
cell_r3_c11.png,3,11,626,120,698,127,72,7
cell_r3_c12.png,3,12,698,119,734,127,36,8
cell_r3_c13.png,3,13,734,119,766,127,32,8
cell_r3_c14.png,3,14,766,119,822,128,56,9
cell_r3_c15.png,3,15,822,119,887,128,65,9
cell_r3_c16.png,3,16,887,119,919,127,32,8
cell_r3_c17.png,3,17,919,119,985,128,66,9
cell_r3_c18.png,3,18,985,119,1050,128,65,9
cell_r3_c0.png,3,0,1,118,17,126,16,8
cell_r3_c1.png,3,1,17,118,229,127,212,9
cell_r3_c2.png,3,2,229,118,280,127,51,9
cell_r3_c3.png,3,3,280,118,324,127,44,9
cell_r3_c4.png,3,4,324,119,359,127,35,8
cell_r3_c5.png,3,5,359,119,391,127,32,8
cell_r3_c6.png,3,6,391,119,446,127,55,8
cell_r3_c7.png,3,7,446,119,502,127,56,8
cell_r3_c8.png,3,8,502,119,538,127,36,8
cell_r3_c9.png,3,9,538,119,570,127,32,8
cell_r3_c10.png,3,10,570,119,626,127,56,8
cell_r3_c11.png,3,11,626,120,698,127,72,7
cell_r3_c12.png,3,12,698,119,734,127,36,8
cell_r3_c13.png,3,13,734,119,766,127,32,8
cell_r3_c14.png,3,14,766,119,822,128,56,9
cell_r3_c15.png,3,15,822,119,887,128,65,9
cell_r3_c16.png,3,16,887,119,919,127,32,8
cell_r3_c17.png,3,17,919,119,985,128,66,9
cell_r3_c18.png,3,18,985,119,1050,128,65,9
cell_r3_c0.png,3,0,1,118,17,126,16,8
cell_r3_c1.png,3,1,17,118,229,127,212,9
cell_r3_c2.png,3,2,229,118,280,127,51,9
cell_r3_c3.png,3,3,280,118,324,127,44,9
cell_r3_c4.png,3,4,324,119,359,127,35,8
cell_r3_c5.png,3,5,359,119,391,127,32,8
cell_r3_c6.png,3,6,391,119,446,127,55,8
cell_r3_c7.png,3,7,446,119,502,127,56,8
cell_r3_c8.png,3,8,502,119,538,127,36,8
cell_r3_c9.png,3,9,538,119,570,127,32,8
cell_r3_c10.png,3,10,570,119,626,127,56,8
cell_r3_c11.png,3,11,626,120,698,127,72,7
cell_r3_c12.png,3,12,698,119,734,127,36,8
cell_r3_c13.png,3,13,734,119,766,127,32,8
cell_r3_c14.png,3,14,766,119,822,128,56,9
cell_r3_c15.png,3,15,822,119,887,128,65,9
cell_r3_c16.png,3,16,887,119,919,127,32,8
cell_r3_c17.png,3,17,919,119,985,128,66,9
cell_r3_c18.png,3,18,985,119,1050,128,65,9
cell_r3_c0.png,3,0,1,118,17,126,16,8
cell_r3_c1.png,3,1,17,118,229,127,212,9
cell_r3_c2.png,3,2,229,118,280,127,51,9
cell_r3_c3.png,3,3,280,118,324,127,44,9
cell_r3_c4.png,3,4,324,119,359,127,35,8
cell_r3_c5.png,3,5,359,119,391,127,32,8
cell_r3_c6.png,3,6,391,119,446,127,55,8
cell_r3_c7.png,3,7,446,119,502,127,56,8
cell_r3_c8.png,3,8,502,119,538,127,36,8
cell_r3_c9.png,3,9,538,119,570,127,32,8
cell_r3_c10.png,3,10,570,119,626,127,56,8
cell_r3_c11.png,3,11,626,120,698,127,72,7
cell_r3_c12.png,3,12,698,119,734,127,36,8
cell_r3_c13.png,3,13,734,119,766,127,32,8
cell_r3_c14.png,3,14,766,119,822,128,56,9
cell_r3_c15.png,3,15,822,119,887,128,65,9
cell_r3_c16.png,3,16,887,119,919,127,32,8
cell_r3_c17.png,3,17,919,119,985,128,66,9
cell_r3_c18.png,3,18,985,119,1050,128,65,9
cell_r3_c0.png,3,0,1,118,17,126,16,8
cell_r3_c1.png,3,1,17,118,229,127,212,9
cell_r3_c2.png,3,2,229,118,280,127,51,9
cell_r3_c3.png,3,3,280,118,324,127,44,9
cell_r3_c4.png,3,4,324,119,359,127,35,8
cell_r3_c5.png,3,5,359,119,391,127,32,8
cell_r3_c6.png,3,6,391,119,446,127,55,8
cell_r3_c7.png,3,7,446,119,502,127,56,8
cell_r3_c8.png,3,8,502,119,538,127,36,8
cell_r3_c9.png,3,9,538,119,570,127,32,8
cell_r3_c10.png,3,10,570,119,626,127,56,8
cell_r3_c11.png,3,11,626,120,698,127,72,7
cell_r3_c12.png,3,12,698,119,734,127,36,8
cell_r3_c13.png,3,13,734,119,766,127,32,8
cell_r3_c14.png,3,14,766,119,822,128,56,9
cell_r3_c15.png,3,15,822,119,887,128,65,9
cell_r3_c16.png,3,16,887,119,919,127,32,8
cell_r3_c17.png,3,17,919,119,985,128,66,9
cell_r3_c18.png,3,18,985,119,1050,128,65,9
cell_r3_c0.png,3,0,1,118,17,126,16,8
cell_r3_c1.png,3,1,17,118,229,127,212,9
cell_r3_c2.png,3,2,229,118,280,127,51,9
cell_r3_c3.png,3,3,280,118,324,127,44,9
cell_r3_c4.png,3,4,324,119,359,127,35,8
cell_r3_c5.png,3,5,359,119,391,127,32,8
cell_r3_c6.png,3,6,391,119,446,127,55,8
cell_r3_c7.png,3,7,446,119,502,127,56,8
cell_r3_c8.png,3,8,502,119,538,127,36,8
cell_r3_c9.png,3,9,538,119,570,127,32,8
cell_r3_c10.png,3,10,570,119,626,127,56,8
cell_r3_c11.png,3,11,626,120,698,127,72,7
cell_r3_c12.png,3,12,698,119,734,127,36,8
cell_r3_c13.png,3,13,734,119,766,127,32,8
cell_r3_c14.png,3,14,766,119,822,128,56,9
cell_r3_c15.png,3,15,822,119,887,128,65,9
cell_r3_c16.png,3,16,887,119,919,127,32,8
cell_r3_c17.png,3,17,919,119,985,128,66,9
cell_r3_c18.png,3,18,985,119,1050,128,65,9
cell_r3_c0.png,3,0,1,118,17,126,16,8
cell_r3_c1.png,3,1,17,118,229,127,212,9
cell_r3_c2.png,3,2,229,118,280,127,51,9
cell_r3_c3.png,3,3,280,118,324,127,44,9
cell_r3_c4.png,3,4,324,119,359,127,35,8
cell_r3_c5.png,3,5,359,119,391,127,32,8
